一级菜单,二级菜单,URL（示例）,排序（小到大）
PPT模板下载,热门TOP100,https://yourdomain.com/top100?from=menu_模板_热门,1
PPT模板下载,年终总结/述职（季节位）,https://yourdomain.com/yearend?from=menu_模板_年终,2
PPT模板下载,工作汇报·方案·科技风,https://yourdomain.com/tech?from=menu_模板_科技风,3
PPT模板下载,答辩·求职·竞聘,https://yourdomain.com/jingpin?from=menu_模板_竞聘,4
PPT模板下载,党政/教师/节日课件,https://yourdomain.com/party?from=menu_模板_党政,5
PPT模板下载,国风清新·文艺·卡通,https://yourdomain.com/guofeng?from=menu_模板_国风,6
AI效率,AI生成PPT工作流,https://yourdomain.com/ai-ppt?from=menu_AI_工作流,1
AI效率,Prompt模板合集,https://yourdomain.com/prompt?from=menu_AI_Prompt,2
AI效率,周报自动化,https://yourdomain.com/weekly?from=menu_AI_周报,3
AI效率,一键做方案/信息图表,https://yourdomain.com/ai-solution?from=menu_AI_方案,4
AI效率,AI工具箱（含软件下载与教程）,https://yourdomain.com/tools?from=menu_AI_工具箱,5
福利丨社区,领取整包（回复【模板】）,https://yourdomain.com/hub?from=menu_福利_整包,1
福利丨社区,加入交流群,https://yourdomain.com/group?from=menu_福利_入群,2
福利丨社区,新手三步,https://yourdomain.com/starter?from=menu_福利_新手,3
福利丨社区,关于/合作,https://yourdomain.com/biz?from=menu_福利_合作,4
